ICAO,RWYLenght,PCN
BIKF,3065,80
EBBR,3638,80
EBCI,2550,64
EDDB,3000,140
EDDK,3815,75
EDDL,3000,100
EDDM,4000,90
EDDN,2700,65
EDDP,3600,80
EDDS,3345,80
EDDT,3023,120
EDDV,3800,68
EDDW,2040,80
EDFH,3800,72
EDLW,2000,49
EFHK,3440,102
EHAM,3800,95
EHEH,3000,60
EHRD,2200,70
EKCH,3600,80
ELLX,4000,65
ENBR,2990,70
ENGM,3600,75
ENVA,2849,50
EPGD,2800,50
EPKK,2550,52
EPKT,2799,50
EPWA,3690,57
ESGG,3299,90
ESSA,3301,97
EVRA,2550,110
EYVI,2515,83
GCFV,2400,67
GCLP,3100,65
GCRR,2400,50
GCTS,3200,79
GCXO,3400,60
GEML,1428,25
LEAL,3000,64
LEAM,3200,100
LEAS,2200,110
LEBB,2600,60
LEBL,3552,86
LECO,1940,45
LEGE,2400,79
LEGR,2900,67
LEIB,2800,65
LEJR,2300,66
LELC,2300,45
LEMD,4100,91
LEMG,3200,60
LEMH,2350,69
LEMO,3597,54
LEPA,3000,96
LERS,2455,39
LESO,1754,56
LEST,3170,107
LEVC,2700,70
LEVX,2400,74
LEXJ,2320,58
LEZG,3032,108
LFBD,3100,70
LFBO,3500,85
LFLL,2670,90
LFML,2370,68
LFMN,2960,62
LFOB,2430,45
LFPG,4215,100
LFPO,3650,140
LFRS,2900,49
LFSB,3900,64
LGAV,4000,40
LGIR,2682,36
LGRP,3306,73
LGTS,2440,40
LHBP,3707,75
LIBD,2440,120
LICA,2414,58
LICC,2435,50
LICJ,3326,60
LIEE,2803,50
LIEO,2446,45
LIMC,3920,100
LIME,2937,72
LIMF,3300,115
LIML,2440,40
LIPE,2800,71
LIPX,3068,55
LIRF,3900,0
LIRN,2628,90
LIRP,2993,85
LIRQ,1654,48
LKPR,3715,62
LMML,3544,100
LOWW,3600,70
LPAZ,3048,87
LPBJ,3450,45
LPBR,839,6.4
LPCB,1460,18.4
LPCH,857,2
LPCO,923,0
LPCR,800,0
LPCS,1540,42
LPEV,1260,9
LPFA,559,0
LPFC,660,5.7
LPFL,1342,15
LPFR,860,37
LPGR,1326,18
LPHR,1647,39
LPIN,420,17
LPJF,500,0
LPLA,3310,92
LPLZ,635,0
LPMA,2631,80
LPMI,685,0
LPMN,750,5.7
LPMU,981,0
LPPD,2473,62
LPPI,1655,80
LPPM,860,37
LPPN,823,9
LPPR,3480,80
LPPS,3000,60
LPPT,3705,80
LPSC,534,0
LPSE,1428,0
LPSJ,1412,0
LPSO,1800,57
LPSR,1127,0
LPVL,1309,0
LPVR,946,26
LPVZ,1160,6.4
LROP,3500,88
LSGG,3900,60
LSZH,3700,60
